nome,cpf,idade,data,endereco,estado
Eduarda Teixeira,745.***.***-17,76,,"ladeira peixoto, 85",MA
Daniel Oliveira,753.***.***-08,34,,colônia maitê cardoso,DF
Isadora Nogueira,129.***.***-05,29,,"praia de campos, 94",PR
Sr. Fernando Moraes,768.***.***-95,96,,"área moreira, 8",PA
Luiza Araújo,246.***.***-10,70,,jardim de dias,CE
Maria Luiza Pires,620.***.***-67,46,,"viela de gonçalves, 79",SC
João Lucas Das Neves,974.***.***-49,49,,"campo de nascimento, 5",SP
Vitor Gabriel Carvalho,387.***.***-92,86,,"viaduto farias, 15",PR
Henrique Sales,196.***.***-39,57,,"jardim cavalcanti, 94",BA
Henrique Ferreira,360.***.***-07,29,,"lago de lopes, 6",GO
Dra. Raquel Da Mota,263.***.***-78,33,,"aeroporto de fogaça, 29",TO
Levi Melo,513.***.***-09,36,,"travessa de da luz, 42",MS
Ana Luiza Gomes,287.***.***-12,32,,"estação de da costa, 211",PA
Isaac Fernandes,572.***.***-07,77,,"recanto rodrigues, 80",PI
Leandro Fernandes,018.***.***-15,65,,"praia daniel barbosa, 847",BA
Dr. Breno Sales,135.***.***-42,77,,estação miguel rodrigues,AL
Rafael Araújo,481.***.***-17,84,,"trevo sofia moreira, 67",CE
Eduardo Da Costa,043.***.***-31,73,,"quadra de alves, 729",PA
Dra. Larissa Fernandes,562.***.***-00,97,,"aeroporto jesus, 2",ES
Milena Da Rocha,864.***.***-49,80,,"alameda araújo, 53",MS
Eduarda Aragão,362.***.***-90,76,,"viela de sales, 68",TO
Sr. Ian Barbosa,149.***.***-70,66,,"morro ryan da luz, 43",PB
Ian Cardoso,731.***.***-78,83,,área ferreira,AP
Vitor Gabriel Ferreira,916.***.***-01,53,,"conjunto farias, 36",SE
Rodrigo Melo,982.***.***-89,44,,praia marina da rosa,AC
Anthony Rezende,831.***.***-66,93,,"via de viana, 68",SC
Sra. Bianca Farias,783.***.***-26,32,,"viela campos, 2",MG
João Carvalho,298.***.***-50,91,,"vereda de aragão, 15",RR
Benício Da Costa,783.***.***-07,29,,"vereda de souza, 13",PR
Yuri Alves,896.***.***-03,86,,"colônia da costa, 7",SE
Gabriela Da Rosa,210.***.***-31,76,,"vale de caldeira, 8",AL
Eduarda Da Conceição,238.***.***-00,99,,"praia de silva, 91",ES
Vicente Aragão,875.***.***-88,97,,avenida da luz,AL
Srta. Sabrina Teixeira,682.***.***-89,88,,"estrada de da rosa, 69",AP
Antônio Santos,198.***.***-03,85,,"morro da rocha, 84",MT
Dr. Lucca Pinto,526.***.***-09,21,,"estrada sabrina freitas, 40",DF
Emilly Vieira,924.***.***-33,72,,"recanto miguel moraes, 45",RS
Dr. Gabriel Da Mata,701.***.***-69,59,,"feira de farias, 28",RS
Emanuella Azevedo,406.***.***-01,69,,"sítio moura, 50",GO
Ana Julia Rocha,618.***.***-60,47,,"trevo davi lucca da cruz, 72",PI
Milena Castro,482.***.***-82,60,,"chácara da mota, 218",RJ
Lavínia Peixoto,204.***.***-50,72,,"feira martins, 78",RN
Enzo Gabriel Gomes,893.***.***-40,28,,"setor luiz henrique monteiro, 4",MG
Laura Fogaça,196.***.***-80,34,,"chácara de da mota, 4",PA
Sr. Vitor Da Mata,062.***.***-78,60,,endereço inválido,DESCONHECIDO
Sophie Pinto,023.***.***-40,29,,residencial noah mendes,SC
Sr. Kaique Peixoto,726.***.***-47,62,,"fazenda moraes, 80",ES
Luiz Henrique Mendes,248.***.***-76,90,,"travessa leandro da mata, 898",RO
Ana Beatriz Pereira,798.***.***-01,54,,condomínio de santos,MG
Sr. Rafael Silva,238.***.***-15,26,,"estação lara almeida, 67",PE
Dra. Olivia Mendes,189.***.***-05,90,,residencial de mendes,RR
Eduardo Sales,052.***.***-74,39,,"aeroporto emanuel barros, 4",DF
André Rodrigues,375.***.***-91,73,,"trecho gomes, 3",GO
Sophia Cavalcanti,092.***.***-56,91,,"alameda paulo da cruz, 70",PR
Carolina Sales,519.***.***-40,32,,"residencial pinto, 95",DF
Lucas Monteiro,654.***.***-37,76,,"lagoa de silveira, 91",PI
João Felipe Dias,850.***.***-42,52,,"condomínio moura, 504",SE
Dr. Ian Fogaça,248.***.***-32,93,,distrito de cavalcanti,RJ
Lorena Barros,785.***.***-10,83,,"favela letícia jesus, 34",MG
Sra. Ana Clara Teixeira,760.***.***-59,49,,"feira de da conceição, 796",SE
Natália Monteiro,481.***.***-60,81,,morro de ramos,AM
Eduarda Duarte,893.***.***-30,20,,"quadra lopes, 69",CE
Larissa Carvalho,632.***.***-37,91,,"jardim de carvalho, 5",AL
Lara Moraes,549.***.***-09,19,,"vereda araújo, 18",PI
Sophie Da Rosa,254.***.***-50,97,,"pátio fernandes, 59",AM
Olivia Martins,391.***.***-39,82,,"jardim vinicius caldeira, 28",DF
Thomas Barros,105.***.***-12,72,,"passarela de araújo, 123",AM
Davi Luiz Azevedo,478.***.***-31,59,,"rodovia eduarda ramos, 87",PB
Danilo Santos,297.***.***-55,97,,"viela ana júlia fernandes, 25",AC
Sr. Enzo Porto,496.***.***-67,98,,"vereda cauê barbosa, 141",MA
Bianca Alves,304.***.***-57,67,,"campo rodrigues, 351",MS
Alexia Das Neves,267.***.***-00,85,,"residencial de sales, 5",SE
Esther Campos,523.***.***-53,58,,"área de castro, 108",PI
Ana Júlia Freitas,584.***.***-17,58,,"estrada fernanda jesus, 2",AC
Maria Vitória Da Mata,826.***.***-76,57,,"lagoa pietro da cruz, 524",RO
Ryan Da Mata,172.***.***-80,20,,"rodovia de porto, 90",GO
Emilly Ribeiro,584.***.***-05,22,,"parque de gomes, 71",PA
Bernardo Pinto,217.***.***-12,94,,"esplanada de moura, 30",PA
Nicole Peixoto,829.***.***-89,68,,distrito moraes,MS
Isaac Da Conceição,867.***.***-85,75,,"lago da luz, 59",AM
Davi Lucca Santos,571.***.***-73,62,,"favela beatriz da costa, 77",RJ
Paulo Lopes,186.***.***-11,67,,"passarela davi lucca lopes, 37",MG
Sophie Vieira,938.***.***-83,36,,"vereda de da mota, 564",MA
Rodrigo Da Cruz,648.***.***-11,51,,"favela costa, 372",GO
Sr. Samuel Barbosa,903.***.***-23,30,,"distrito jesus, 34",RS
Dr. Cauê Ramos,109.***.***-34,70,,"viela de castro, 27",DF
Bruno Jesus,354.***.***-42,27,,"campo moreira, 48",RN
Lívia Correia,843.***.***-65,52,,"favela de da rocha, 6",MS
Enrico Da Rocha,241.***.***-05,26,,condomínio maria julia cavalcanti,PA
Rafaela Aragão,269.***.***-22,73,,chácara maria fernanda castro,PB
Larissa Lopes,015.***.***-12,78,,"largo cavalcanti, 96",SC
Isadora Carvalho,917.***.***-13,99,,"pátio de da paz, 57",SC
Sr. Vitor Da Rocha,234.***.***-51,77,,"recanto de novaes, 32",TO
Isadora Pereira,501.***.***-06,92,,"jardim stella da costa, 91",BA
Dr. Bernardo Da Cunha,147.***.***-79,50,,"residencial marina azevedo, 89",MT
Gabrielly Mendes,954.***.***-50,46,,"praça joão rezende, 30",RJ
Sr. Bruno Da Mata,473.***.***-99,94,,"chácara alice ferreira, 678",TO
Breno Rocha,237.***.***-52,60,,estação de rodrigues,PA
Luigi Ferreira,148.***.***-19,69,,trevo vieira,AP
Davi Lucca Da Cruz,862.***.***-78,71,,"sítio de novaes, 75",AL
Henrique Almeida,824.***.***-31,59,,"área da costa, 29",MS
Dr. Vitor Hugo Caldeira,943.***.***-42,36,,"feira da costa, 17",SE
Alexia Souza,348.***.***-48,70,,"lagoa alves, 97",MT
Luiza Azevedo,683.***.***-92,73,,"recanto elisa da mota, 8",AL
Dr. Kaique Da Mota,143.***.***-60,92,,"setor vinicius moraes, 475",TO
Laura Lima,051.***.***-41,82,,"área oliveira, 91",SP
Raul Rodrigues,039.***.***-05,55,,"aeroporto da rocha, 499",BA
Joaquim Melo,305.***.***-21,91,,"ladeira ribeiro, 6",PE
Benjamin Cardoso,054.***.***-44,80,,"trevo da cunha, 2",AL
João Miguel Lopes,741.***.***-26,33,,"via de nunes, 63",ES
Letícia Da Mota,587.***.***-02,24,,"travessa de lopes, 205",CE
Levi Da Rocha,840.***.***-92,40,,"via brenda cunha, 49",AC
Lorena Caldeira,625.***.***-60,53,,"praça ana luiza fernandes, 5",BA
Cauê Nogueira,473.***.***-64,96,,recanto melo,ES
Sra. Yasmin Ferreira,805.***.***-68,85,,"lago de da cunha, 6",RN
Nicole Almeida,529.***.***-79,90,,chácara joão gabriel nogueira,MG
Breno Pereira,916.***.***-91,28,,"residencial gabriela azevedo, 35",PI
Clara Dias,190.***.***-50,38,,"conjunto da conceição, 39",DF
Dra. Milena Vieira,237.***.***-87,69,,"campo camila das neves, 14",MG
Vitor Gabriel Porto,394.***.***-43,86,,"residencial luiza correia, 598",ES
Sr. Erick Da Rosa,971.***.***-84,25,,núcleo de caldeira,AL
Marcos Vinicius Da Cunha,709.***.***-04,32,,"lagoa de rodrigues, 23",RN
Sra. Nina Pires,651.***.***-26,44,,"viela eloah cunha, 42",RS
Felipe Ribeiro,259.***.***-60,77,,"núcleo maria julia cunha, 21",PE
Maria Julia Porto,864.***.***-07,35,,alameda nascimento,GO
Pedro Cardoso,125.***.***-50,35,,"travessa de da rosa, 86",PA
Enrico Gonçalves,637.***.***-46,84,,campo bernardo barros,MG
Murilo Campos,031.***.***-22,97,,recanto silva,SP
Olivia Porto,608.***.***-65,38,,"conjunto almeida, 3",AC
Mirella Da Conceição,854.***.***-05,39,,"pátio joão lucas cardoso, 77",AM
Stephany Cardoso,453.***.***-46,89,,"praia luiz gustavo da luz, 83",RO
Dr. Gabriel Souza,432.***.***-52,23,,"rodovia de costela, 116",CE
Davi Jesus,914.***.***-70,51,,"quadra vieira, 230",RO
Guilherme Freitas,517.***.***-07,43,,"trecho de caldeira, 369",SE
Theo Costa,705.***.***-49,81,,"largo joão santos, 10",RN
Dr. Gustavo Henrique Das Neves,430.***.***-00,98,,"setor juliana fogaça, 605",MA
Maria Luiza Gomes,821.***.***-53,80,,"área ana vitória martins, 56",BA
Davi Lucas Peixoto,610.***.***-07,36,,"área thomas moraes, 58",RJ
Bruna Almeida,610.***.***-57,72,,"chácara mendes, 64",PR
Juliana Ramos,846.***.***-05,20,,"vale de duarte, 5",AM
Sarah Nascimento,560.***.***-99,77,,"alameda das neves, 1",MT
Brenda Da Luz,037.***.***-22,74,,"viela danilo farias, 54",PE
Heloísa Da Costa,648.***.***-19,80,,"favela correia, 6",SE
Emanuella Araújo,758.***.***-82,64,,rodovia maria julia peixoto,AC
Vitor Viana,036.***.***-34,65,,"trecho de oliveira, 41",AC
Yago Lopes,720.***.***-59,75,,"lagoa danilo fogaça, 756",RO
Lívia Souza,308.***.***-50,35,,"colônia de correia, 93",CE
Gabriela Cavalcanti,359.***.***-41,56,,"setor oliveira, 4",MA
Enzo Nogueira,309.***.***-00,82,,morro de ferreira,MG
Dr. Ian Barbosa,412.***.***-03,90,,"alameda eduardo barros, 60",PI
Gabriela Rocha,348.***.***-35,34,,"área joaquim nogueira, 98",MA
Maria Julia Martins,576.***.***-12,81,,"loteamento de nunes, 83",PB
Dra. Marina Santos,950.***.***-02,57,,"viela alana souza, 456",DF
Heloísa Teixeira,635.***.***-07,87,,"viela de da cruz, 61",PA
Paulo Farias,593.***.***-15,72,,"esplanada thomas pires, 33",AP
Gabrielly Cardoso,127.***.***-43,95,,estrada da cruz,AP
Davi Aragão,598.***.***-20,35,,"residencial de cardoso, 66",SE
Yago Peixoto,380.***.***-05,95,,"condomínio de nunes, 436",PI
Erick Da Conceição,983.***.***-83,60,,"morro nunes, 657",CE
Isis Araújo,216.***.***-13,69,,"praia de campos, 82",SP
Dr. Nicolas Rezende,460.***.***-49,42,,"esplanada marcela castro, 36",PA
Sr. Samuel Nascimento,914.***.***-24,65,,setor luana ramos,AC
Sra. Maria Fernanda Barbosa,718.***.***-03,90,,"esplanada pedro nascimento, 71",GO
Luiz Felipe Farias,069.***.***-74,80,,"favela kaique fogaça, 19",AL
Sr. Calebe Silva,402.***.***-49,61,,rodovia de castro,ES
Emanuella Gonçalves,107.***.***-02,69,,endereço inválido,DESCONHECIDO
Augusto Oliveira,246.***.***-17,32,,"colônia costa, 81",RO
Pedro Azevedo,953.***.***-65,68,,"vale vieira, 49",RS
Sra. Maria Luiza Fogaça,650.***.***-06,67,,"recanto de moreira, 426",MT
Eduarda Oliveira,365.***.***-83,58,,"sítio clarice sales, 99",PB
Paulo Ramos,490.***.***-43,21,,sítio azevedo,DF
Beatriz Pires,275.***.***-21,34,,recanto de castro,MA
Fernando Azevedo,790.***.***-99,28,,"estação rafael nunes, 90",RO
Eloah Silva,037.***.***-61,89,,"viela da rocha, 160",BA
Caio Araújo,407.***.***-14,34,,"morro ribeiro, 11",GO
Sra. Valentina Sales,269.***.***-31,84,,"sítio ramos, 73",MG
Melissa Cunha,719.***.***-73,25,,"ladeira luiza pinto, 9",MT
Laís Da Paz,139.***.***-33,97,,"lagoa cavalcanti, 12",SP
Heitor Silveira,183.***.***-89,89,,avenida azevedo,MA
Fernanda Moraes,064.***.***-44,45,,"avenida rocha, 13",PI
Alana Souza,801.***.***-42,50,,"praia moreira, 1",SE
Srta. Caroline Da Rosa,192.***.***-98,51,,"passarela rocha, 96",SP
Stephany Vieira,682.***.***-22,46,,"travessa guilherme carvalho, 7",MS
Enzo Barros,794.***.***-16,67,,"estação fernandes, 85",GO
Caroline Peixoto,036.***.***-30,67,,"loteamento thales pires, 51",RR
Maria Vitória Novaes,804.***.***-58,39,,"via vieira, 26",GO
Bruna Moura,240.***.***-06,94,,"quadra amanda martins, 4",MG
Maitê Peixoto,501.***.***-58,61,,"distrito caldeira, 95",PI
Dr. Anthony Barbosa,749.***.***-20,20,,"distrito de fogaça, 13",AP
Alexandre Jesus,269.***.***-34,69,,"aeroporto de fogaça, 74",BA
Marcos Vinicius Campos,421.***.***-22,45,,"trecho de barbosa, 7",RJ
Rebeca Da Rosa,640.***.***-22,11,,trecho da mata,SC
Henrique Monteiro,378.***.***-73,6,,"largo theo silva, 91",SP
Luigi Da Rosa,316.***.***-87,5,,"pátio de rocha, 4",MG
Melissa Dias,170.***.***-05,10,,"quadra isabel castro, 40",PI
Igor Ramos,695.***.***-77,6,,"lago de caldeira, 4",AC
Alice Cardoso,123.***.***-09,4,,"viaduto araújo, 76",PR
Breno Freitas,205.***.***-41,16,,"loteamento de ferreira, 24",PA
Ana Lívia Da Paz,347.***.***-69,18,,"ladeira gomes, 10",RJ
Sr. Daniel Cavalcanti,609.***.***-33,6,,"núcleo de da paz, 894",GO
Sr. Pedro Cavalcanti,863.***.***-84,1,,recanto de melo,BA
Nome Inválido,930.***.***-38,38,,"colônia da rocha, 31",RN
Nome Inválido,146.***.***-00,93,,"estrada nogueira, 21",PB
Renan Da Luz,294.***.***-23,74,,rua não cadastrada,PR
Caroline Costa,401.***.***-88,21,,rua não cadastrada,RS
Giovanna Farias,241.***.***-35,40,,rua não cadastrada,RJ
Maitê Araújo,496.***.***-55,52,,rua não cadastrada,RS
Lavínia Da Mota,039.***.***-00,21,,rua não cadastrada,ES
Igor Cardoso,345.***.***-05,49,,rua não cadastrada,AM
Maria Julia Campos,018.***.***-13,98,,rua não cadastrada,MG
Marcos Vinicius Das Neves,617.***.***-02,86,,rua não cadastrada,RO
Isabel Barbosa,986.***.***-02,26,,rua não cadastrada,MG
Ryan Gomes,861.***.***-60,57,,rua não cadastrada,SP
Breno Duarte,463.***.***-98,66,,rua não cadastrada,TO
Eloah Peixoto,064.***.***-16,79,,rua não cadastrada,MG
Luiza Sales,726.***.***-80,56,,rua não cadastrada,GO
Dr. Alexandre Sales,427.***.***-40,87,,rua não cadastrada,SP
Alícia Campos,162.***.***-94,49,,rua não cadastrada,GO
Luigi Porto,826.***.***-83,43,,"parque de santos, 88",PI
